model,seed,conf,iou,nms_type,run_name,status,started_at,finished_at
ours,42,0.001,0.45,classaware,final_nms_ours_seed42_conf0p001_iou0p45_classaware,running,2026-06-26T23:52:19+09:00,
ours,42,0.001,0.45,classaware,final_nms_ours_seed42_conf0p001_iou0p45_classaware,complete,2026-06-26T23:52:19+09:00,2026-06-26T23:52:38+09:00
ours,42,0.001,0.55,classaware,final_nms_ours_seed42_conf0p001_iou0p55_classaware,running,2026-06-26T23:52:38+09:00,
ours,42,0.001,0.55,classaware,final_nms_ours_seed42_conf0p001_iou0p55_classaware,complete,2026-06-26T23:52:38+09:00,2026-06-26T23:52:57+09:00
ours,42,0.001,0.65,classaware,final_nms_ours_seed42_conf0p001_iou0p65_classaware,running,2026-06-26T23:52:57+09:00,
ours,42,0.001,0.65,classaware,final_nms_ours_seed42_conf0p001_iou0p65_classaware,complete,2026-06-26T23:52:57+09:00,2026-06-26T23:53:16+09:00
ours,42,0.001,0.75,classaware,final_nms_ours_seed42_conf0p001_iou0p75_classaware,running,2026-06-26T23:53:16+09:00,
ours,42,0.001,0.75,classaware,final_nms_ours_seed42_conf0p001_iou0p75_classaware,complete,2026-06-26T23:53:16+09:00,2026-06-26T23:53:34+09:00
ours,123,0.001,0.45,classaware,final_nms_ours_seed123_conf0p001_iou0p45_classaware,running,2026-06-26T23:53:34+09:00,
ours,123,0.001,0.45,classaware,final_nms_ours_seed123_conf0p001_iou0p45_classaware,complete,2026-06-26T23:53:34+09:00,2026-06-26T23:53:52+09:00
ours,123,0.001,0.55,classaware,final_nms_ours_seed123_conf0p001_iou0p55_classaware,running,2026-06-26T23:53:52+09:00,
ours,123,0.001,0.55,classaware,final_nms_ours_seed123_conf0p001_iou0p55_classaware,complete,2026-06-26T23:53:52+09:00,2026-06-26T23:54:11+09:00
ours,123,0.001,0.65,classaware,final_nms_ours_seed123_conf0p001_iou0p65_classaware,running,2026-06-26T23:54:11+09:00,
ours,123,0.001,0.65,classaware,final_nms_ours_seed123_conf0p001_iou0p65_classaware,complete,2026-06-26T23:54:11+09:00,2026-06-26T23:54:30+09:00
ours,123,0.001,0.75,classaware,final_nms_ours_seed123_conf0p001_iou0p75_classaware,running,2026-06-26T23:54:30+09:00,
ours,123,0.001,0.75,classaware,final_nms_ours_seed123_conf0p001_iou0p75_classaware,complete,2026-06-26T23:54:30+09:00,2026-06-26T23:54:48+09:00
ours,2026,0.001,0.45,classaware,final_nms_ours_seed2026_conf0p001_iou0p45_classaware,running,2026-06-26T23:54:48+09:00,
ours,2026,0.001,0.45,classaware,final_nms_ours_seed2026_conf0p001_iou0p45_classaware,complete,2026-06-26T23:54:48+09:00,2026-06-26T23:55:07+09:00
ours,2026,0.001,0.55,classaware,final_nms_ours_seed2026_conf0p001_iou0p55_classaware,running,2026-06-26T23:55:07+09:00,
ours,2026,0.001,0.55,classaware,final_nms_ours_seed2026_conf0p001_iou0p55_classaware,complete,2026-06-26T23:55:07+09:00,2026-06-26T23:55:25+09:00
ours,2026,0.001,0.65,classaware,final_nms_ours_seed2026_conf0p001_iou0p65_classaware,running,2026-06-26T23:55:25+09:00,
ours,2026,0.001,0.65,classaware,final_nms_ours_seed2026_conf0p001_iou0p65_classaware,complete,2026-06-26T23:55:25+09:00,2026-06-26T23:55:43+09:00
ours,2026,0.001,0.75,classaware,final_nms_ours_seed2026_conf0p001_iou0p75_classaware,running,2026-06-26T23:55:43+09:00,
ours,2026,0.001,0.75,classaware,final_nms_ours_seed2026_conf0p001_iou0p75_classaware,complete,2026-06-26T23:55:43+09:00,2026-06-26T23:56:02+09:00
yolov9c,42,0.001,0.45,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p45_classaware,running,2026-06-26T23:56:02+09:00,
yolov9c,42,0.001,0.45,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p45_classaware,complete,2026-06-26T23:56:02+09:00,2026-06-26T23:56:19+09:00
yolov9c,42,0.001,0.55,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p55_classaware,running,2026-06-26T23:56:19+09:00,
yolov9c,42,0.001,0.55,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p55_classaware,complete,2026-06-26T23:56:19+09:00,2026-06-26T23:56:36+09:00
yolov9c,42,0.001,0.65,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p65_classaware,running,2026-06-26T23:56:36+09:00,
yolov9c,42,0.001,0.65,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p65_classaware,complete,2026-06-26T23:56:36+09:00,2026-06-26T23:56:52+09:00
yolov9c,42,0.001,0.75,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p75_classaware,running,2026-06-26T23:56:52+09:00,
yolov9c,42,0.001,0.75,classaware,final_nms_yolov9c_seed42_conf0p001_iou0p75_classaware,complete,2026-06-26T23:56:52+09:00,2026-06-26T23:57:08+09:00
yolov9c,123,0.001,0.45,classaware,final_nms_yolov9c_seed123_conf0p001_iou0p45_classaware,running,2026-06-26T23:57:08+09:00,
yolov9c,123,0.001,0.45,classaware,final_nms_yolov9c_seed123_conf0p001_iou0p45_classaware,complete,2026-06-26T23:57:08+09:00,2026-06-26T23:57:25+09:00
yolov9c,123,0.001,0.55,classaware,final_nms_yolov9c_seed123_conf0p001_iou0p55_classaware,running,2026-06-26T23:57:25+09:00,
