updated_at,scenario,step,status,artifact,note
"2026-06-25T01:18:02+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:18:11+09:00","S0","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:18:17+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:18:25+09:00","S1","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:18:32+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:18:40+09:00","S2","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:21:54+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:22:03+09:00","S0","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:22:10+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:22:20+09:00","S1","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:22:27+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:22:36+09:00","S2","capture","failed","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture/real_cesium_capture_summary.json","Capture command ended but summary is missing"
"2026-06-25T01:56:19+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T01:58:17+09:00","S0","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T01:58:24+09:00","S2","detector","skipped_missing_capture","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005","Need real_cesium_capture_summary.json and capture_plan.json"
"2026-06-25T01:58:31+09:00","S1","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T02:00:29+09:00","S1","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T02:00:40+09:00","S2","detector","skipped_missing_capture","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005","Need real_cesium_capture_summary.json and capture_plan.json"
"2026-06-25T02:00:47+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture","viewer160 real Cesium capture"
"2026-06-25T02:03:47+09:00","S0","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-25T02:03:54+09:00","S0","detector","started","outputs/evidence/uavmarine_s0_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:03:56+09:00","S0","detector","failed","outputs/evidence/uavmarine_s0_viewer160_recapture_detector_smoke_conf005","Detector smoke script failed"
"2026-06-25T02:04:03+09:00","S1","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-25T02:04:09+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:04:11+09:00","S1","detector","failed","outputs/evidence/uavmarine_s1_viewer160_recapture_detector_smoke_conf005","Detector smoke script failed"
"2026-06-25T02:04:19+09:00","S2","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
